,matrix_length,naive_time,dnc_time,strassen_time
0,2,4.5299530029296875e-06,2.6702880859375e-05,3.409385681152344e-05
1,4,9.775161743164062e-06,3.4332275390625e-05,5.054473876953125e-05
2,8,4.982948303222656e-05,9.632110595703125e-05,0.0001373291015625
3,16,0.0003552436828613281,0.0004558563232421875,0.0005328655242919922
4,32,0.002658843994140625,0.0030999183654785156,0.0032579898834228516
5,64,0.021142959594726562,0.022443532943725586,0.02211165428161621
6,128,0.16642975807189941,0.17532038688659668,0.17015600204467773
7,256,1.3438925743103027,1.410142183303833,1.3138418197631836
8,512,11.084750175476074,10.923375129699707,9.507660388946533
9,1024,96.93964505195618,89.09744000434875,73.02533006668091
10,2048,738.9545097351074,716.3737452030182,509.2915053367615
